0,-1,1
0,-2,2
-1,-2,2.23607
-1,0,2.23607
-2,-2,2.82843
0,-3,3
1,-1,3
-2,-3,3.60555
-3,-3,4.24264
0,-4,4.24264
-4,-3,5
-1,1,5
-2,-4,5
-4,-2,5
-4,-1,5
0,-5,5
-3,-4,5
-2,-5,5.38516
-5,-1,5.38516
2,-1,5.38516
0,-6,6
0,-7,7
1,-5,7
-1,2,7
-1,3,7
3,-1,7
4,-1,7
-4,0,7
-6,-1,7
-1,-7,7.07107
-2,-7,7.28011
-2,3,7.28011
1,-7,7.28011
1,-8,8.06226
-7,-1,8.06226
5,-1,8.06226
6,-1,8.06226
0,-8,8.06226
2,0,8.06226
6,-2,8.06226
-2,-8,8.24621
-6,0,8.24621
7,-1,8.24621
-7,-2,8.24621
5,-2,8.24621
2,-7,8.24621
5,-3,8.24621
7,-2,8.24621
-3,0,8.24621
-3,-5,8.24621
-1,4,8.24621
6,0,8.24621
-6,1,8.24621
1,-9,9.05539
7,0,9.05539
-5,-3,9.05539
-7,-3,9.05539
1,-10,10.0499
-8,-3,10.0499
-4,-5,10.0499
6,1,10.0499
-1,5,10.0499
-2,5,10.0499
3,-7,10.0499
8,0,10.0499
-8,-4,10.0499
-1,6,10.0499
-4,-6,10.0499
-4,-7,10.0499
9,0,10.0499
-1,-8,10.0499
-5,-6,10.0499
-1,7,10.0499
6,2,10.0499
6,3,10.0499
-6,2,10.0499
-1,8,10.0499
-9,-3,10.0499
8,1,10.0499
-9,-4,10.0499
9,1,10.0499
5,-4,10.0499
-10,-3,10.4403
-5,-7,10.4403
-3,5,10.4403
3,-8,10.4403
6,4,10.4403
7,4,10.4403
-7,2,10.4403
1,-11,11.0454
6,5,11.0454
9,2,11.0454
10,0,11.0454
-9,-2,11.0454
7,5,11.0454
-2,7,11.0454
10,-1,11.0454
2,-10,11.0454
1,-12,12.0416
-8,-1,12.0416
-10,-4,12.0416
6,6,12.0416
-10,-5,12.0416
3,-10,12.0416
11,0,12.0416
-10,-6,12.0416
-10,-2,12.0416
-11,-6,12.53
-8,0,12.53
-12,-6,13.4164
-8,2,13.4164
-1,9,13.4164
-13,-6,14.3178
9,3,14.3178
-13,-7,14.7648
-11,-7,14.7648
-3,6,14.7648
1,-13,14.7648
